 12Z 24 Jul 2015, 76225, 52.23, -226.22
 12Z 26 Jul 2015, 76225, 0.00, 0.00
 12Z 27 Jul 2015, 76225, 364.65, -75.85
 12Z 28 Jul 2015, 76225, 7.15, -354.85
 00Z 29 Jul 2015, 76225, 780.11, -102.38
 12Z 29 Jul 2015, 76225, 9.00, -205.20
 00Z 30 Jul 2015, 76225, 685.04, -0.75
 12Z 30 Jul 2015, 76225, 21.36, -338.07
 00Z 31 Jul 2015, 76225, 247.96, -143.21
 12Z 31 Jul 2015, 76225, 47.03, -258.09
 12Z 01 Aug 2015, 76225, 47.17, -298.31
 12Z 02 Aug 2015, 76225, 101.79, -188.66
 12Z 03 Aug 2015, 76225, 69.28, -207.76
 00Z 04 Aug 2015, 76225, 312.96, 0.00
 12Z 04 Aug 2015, 76225, 131.04, -190.93
 00Z 05 Aug 2015, 76225, 1020.10, -5.98
 12Z 05 Aug 2015, 76225, 554.72, -179.58
 00Z 06 Aug 2015, 76225, 512.05, -2.74
 12Z 06 Aug 2015, 76225, 29.95, -292.12
 00Z 07 Aug 2015, 76225, 74.36, -10.24
 12Z 07 Aug 2015, 76225, 19.35, -362.97
 00Z 08 Aug 2015, 76225, 294.19, -16.48
 12Z 08 Aug 2015, 76225, 0.26, -334.82
 12Z 09 Aug 2015, 76225, 263.44, -242.27
 12Z 10 Aug 2015, 76225, 181.15, -196.45
 00Z 11 Aug 2015, 76225, 519.77, -3.84
 12Z 11 Aug 2015, 76225, 0.00, -270.46
 00Z 12 Aug 2015, 76225, 14.24, -2.41
 12Z 12 Aug 2015, 76225, 0.00, 0.00
 00Z 13 Aug 2015, 76225, 44.09, 0.00
 12Z 13 Aug 2015, 76225, 15.73, -146.01
 00Z 14 Aug 2015, 76225, 349.45, -1.06
 12Z 14 Aug 2015, 76225, 0.00, 0.00
 00Z 15 Aug 2015, 76225, 693.77, 0.00
 12Z 15 Aug 2015, 76225, 11.44, -288.56
 12Z 16 Aug 2015, 76225, 53.32, -206.14
 12Z 17 Aug 2015, 76225, 45.20, -262.83
 00Z 18 Aug 2015, 76225, 98.07, -14.02
 12Z 18 Aug 2015, 76225, 0.00, 0.00
 00Z 19 Aug 2015, 76225, 304.04, -208.83
 12Z 19 Aug 2015, 76225, 0.00, 0.00
 00Z 20 Aug 2015, 76225, 2410.08, -19.49
 12Z 20 Aug 2015, 76225, 31.66, -304.45
 00Z 21 Aug 2015, 76225, 423.63, -8.03
 12Z 21 Aug 2015, 76225, 26.27, -308.68
 00Z 22 Aug 2015, 76225, 309.47, -96.07
 12Z 24 Aug 2015, 76225, 254.85, -130.04
 12Z 25 Aug 2015, 76225, 124.83, -210.51
 12Z 26 Aug 2015, 76225, 3.78, -193.74
 12Z 27 Aug 2015, 76225, 3.32, -240.29
 12Z 28 Aug 2015, 76225, 0.00, 0.00
 12Z 29 Aug 2015, 76225, 0.12, -366.73
 12Z 31 Aug 2015, 76225, 0.00, 0.00
 12Z 01 Sep 2015, 76225, 0.00, 0.00
 12Z 02 Sep 2015, 76225, 0.00, 0.00
 12Z 03 Sep 2015, 76225, 0.00, 0.00
 12Z 04 Sep 2015, 76225, 1.22, -282.90
 12Z 05 Sep 2015, 76225, 19.71, -211.08
 12Z 07 Sep 2015, 76225, 30.50, -252.54
 00Z 08 Sep 2015, 76225, 569.85, -33.72
 12Z 08 Sep 2015, 76225, 80.03, -208.96
 00Z 09 Sep 2015, 76225, 662.89, -61.40
 12Z 09 Sep 2015, 76225, 35.70, -200.16
 00Z 10 Sep 2015, 76225, 367.94, -3.47
 12Z 10 Sep 2015, 76225, 152.19, -125.04
 00Z 11 Sep 2015, 76225, 969.30, -11.12
 12Z 11 Sep 2015, 76225, 0.00, 0.00
 00Z 12 Sep 2015, 76225, 103.11, -17.91
 12Z 12 Sep 2015, 76225, 100.03, -68.61
 12Z 13 Sep 2015, 76225, 0.00, 0.00
 12Z 14 Sep 2015, 76225, 14.26, -135.56
 00Z 15 Sep 2015, 76225, 214.75, -4.76
 12Z 15 Sep 2015, 76225, 33.62, -133.15
 00Z 16 Sep 2015, 76225, 627.90, -1.71
 12Z 16 Sep 2015, 76225, 36.76, -161.78
 00Z 17 Sep 2015, 76225, 289.60, -14.53
 12Z 17 Sep 2015, 76225, 0.00, 0.00
 00Z 18 Sep 2015, 76225, 75.63, -9.54
 12Z 18 Sep 2015, 76225, 0.42, -342.92
 00Z 19 Sep 2015, 76225, 69.02, -12.91
 12Z 19 Sep 2015, 76225, 109.60, -216.40
 12Z 20 Sep 2015, 76225, 0.00, 0.00
 12Z 21 Sep 2015, 76225, 89.87, -65.64
 00Z 22 Sep 2015, 76225, 1404.88, -47.38
 12Z 22 Sep 2015, 76225, 0.00, 0.00
 00Z 23 Sep 2015, 76225, 433.19, -74.07
 12Z 23 Sep 2015, 76225, 425.72, -108.98
 00Z 24 Sep 2015, 76225, 1404.33, -7.22
 12Z 24 Sep 2015, 76225, 163.50, -231.41
 00Z 25 Sep 2015, 76225, 896.91, -17.34
 12Z 25 Sep 2015, 76225, 0.00, 0.00
 00Z 26 Sep 2015, 76225, 65.39, -7.36
 12Z 26 Sep 2015, 76225, 0.00, 0.00
 12Z 27 Sep 2015, 76225, 0.00, 0.00
 12Z 28 Sep 2015, 76225, 0.00, 0.00
 12Z 29 Sep 2015, 76225, 0.00, 0.00
 00Z 30 Sep 2015, 76225, 50.20, -0.02
 12Z 30 Sep 2015, 76225, 0.00, 0.00
 12Z 01 Oct 2015, 76225, 0.00, 0.00
 00Z 02 Oct 2015, 76225, 0.00, 0.00
 12Z 02 Oct 2015, 76225, 0.00, 0.00
 00Z 03 Oct 2015, 76225, 170.99, -6.96
 12Z 03 Oct 2015, 76225, 4.05, -320.56
 12Z 04 Oct 2015, 76225, 0.00, 0.00
 12Z 05 Oct 2015, 76225, 28.12, -130.93
 00Z 06 Oct 2015, 76225, 1115.54, -12.28
 12Z 06 Oct 2015, 76225, 548.63, -43.88
 12Z 07 Oct 2015, 76225, 91.89, -9.31
 00Z 08 Oct 2015, 76225, 206.81, -0.03
 12Z 08 Oct 2015, 76225, 305.62, -110.97
 12Z 09 Oct 2015, 76225, 0.00, 0.00
 12Z 10 Oct 2015, 76225, 0.00, 0.00
 12Z 11 Oct 2015, 76225, 0.00, 0.00
 12Z 12 Oct 2015, 76225, 0.00, 0.00
 12Z 13 Oct 2015, 76225, 0.00, 0.00
 12Z 14 Oct 2015, 76225, 0.00, 0.00
 12Z 15 Oct 2015, 76225, 0.00, 0.00
 12Z 16 Oct 2015, 76225, 0.00, 0.00
 12Z 17 Oct 2015, 76225, 0.00, 0.00
 12Z 18 Oct 2015, 76225, 0.00, 0.00
 12Z 19 Oct 2015, 76225, 163.91, -206.02
 12Z 20 Oct 2015, 76225, 133.89, -159.99
 12Z 21 Oct 2015, 76225, 0.00, 0.00
 12Z 22 Oct 2015, 76225, 0.00, 0.00
 12Z 23 Oct 2015, 76225, 0.00, 0.00
 00Z 24 Oct 2015, 76225, 0.00, 0.00
 12Z 24 Oct 2015, 76225, 0.00, 0.00
 00Z 25 Oct 2015, 76225, 124.06, -5.91
 12Z 25 Oct 2015, 76225, 0.00, 0.00
 12Z 26 Oct 2015, 76225, 0.00, 0.00
 12Z 27 Oct 2015, 76225, 0.00, 0.00
 00Z 28 Oct 2015, 76225, 0.68, -67.40
 12Z 28 Oct 2015, 76225, 0.00, 0.00
 12Z 29 Oct 2015, 76225, 0.00, 0.00
 12Z 30 Oct 2015, 76225, 33.72, -45.41
 12Z 31 Oct 2015, 76225, 0.00, 0.00
 12Z 02 Nov 2015, 76225, 0.00, 0.00
 12Z 03 Nov 2015, 76225, 0.00, 0.00
