
             , Sta.Nu, Sh.in, Lif.in, LIFT, SWEAT, K index, Tot tot, 
12:00 01 May ,  76225,  11.71,  11.79,  11.61,  29.83,  -1.90,  30.40,  0.00,  0.00,  0.00,  269.49,  7.56
12:00 02 May ,  76225,  10.97,  10.54,  10.47,  23.59,  0.50,  31.80,  0.00,  0.00,  0.00,  262.56,  6.57
12:00 03 May ,  76225,  4.89,  4.75,  4.41,  67.00,  20.30,  41.60,  0.00,  0.00,  0.00,  272.49,  15.45
12:00 04 May ,  76225,  4.31,  4.46,  4.07,  91.98,  2.70,  42.40,  0.00,  0.00,  0.00,  271.58,  10.26
12:00 05 May ,  76225,  9.46,  9.06,  8.74,  55.98,  -4.50,  33.00,  0.00,  0.00,  0.00,  270.11,  7.28
12:00 06 May ,  76225,  8.14,  7.97,  7.74,  37.26,  9.70,  35.60,  0.00,  0.00,  0.00,  266.35,  8.83
12:00 07 May ,  76225,  7.45,  7.08,  6.82,  57.98,  -4.30,  37.20,  0.00,  0.00,  0.00,  267.34,  6.34
12:00 08 May ,  76225,  4.26,  3.73,  3.58,  117.00,  19.70,  42.40,  0.00,  0.00,  0.00,  273.46,  12.68
12:00 09 May ,  76225,  11.03,  10.76,  10.52,  45.98,  -25.30,  29.00,  0.00,  0.00,  0.00,  259.70,  3.11
12:00 10 May ,  76225,  13.82,  11.56,  11.38,  44.00,  -19.30,  22.60,  0.00,  0.00,  0.00,  256.62,  3.72
12:00 11 May ,  76225,  12.70,  12.41,  12.21,  26.01,  -6.70,  25.00,  0.00,  0.00,  0.00,  256.95,  5.25
12:00 12 May ,  76225,  -1.52,  -0.90,  -1.25,  193.40,  22.70,  51.00,  83.54,  -216.91
12:00 13 May ,  76225,  0.36,  0.49,  0.16,  140.59,  25.50,  49.40,  0.00,  0.00,  0.00,  276.67,  12.84
12:00 14 May ,  76225,  6.88,  7.01,  6.73,  57.01,  -5.30,  37.80,  0.00,  0.00,  0.00,  265.16,  6.02
12:00 15 May ,  76225,  5.03,  5.02,  4.67,  119.20,  21.30,  40.40,  0.00,  0.00,  0.00,  277.12,  16.09
12:00 16 May ,  76225,  5.14,  5.35,  4.98,  140.98,  26.90,  39.80,  0.00,  0.00,  0.00,  275.52,  14.20
12:00 17 May ,  76225,  10.70,  9.86,  9.63,  54.00,  4.50,  30.40,  0.00,  0.00,  0.00,  267.89,  9.89
12:00 18 May ,  76225,  4.81,  4.15,  4.00,  48.38,  21.10,  41.80,  0.00,  0.00,  0.00,  269.56,  15.89
12:00 19 May ,  76225,  5.83,  5.63,  5.22,  75.78,  -1.50,  39.20,  0.00,  0.00,  0.00,  272.18,  7.05
12:00 20 May ,  76225,  11.27,  9.22,  8.96,  28.01,  1.70,  29.00,  0.00,  0.00,  0.00,  263.71,  8.78
12:00 21 May ,  76225,  5.32,  5.70,  5.42,  50.99,  -5.30,  40.40,  0.00,  0.00,  0.00,  268.87,  10.06
