anio,mes,dia,hora(utc),altura(mm)
2016,1,28,14,418 
2016,1,28,15,426 
2016,1,28,16,419 
2016,1,28,17,384 
2016,1,28,18,327 
2016,1,28,19,268 
2016,1,28,20,222 
2016,1,28,21,185 
2016,1,28,22,153 
2016,1,28,23,125 
2016,1,29,0,104 
2016,1,29,1,99 
2016,1,29,2,117 
2016,1,29,3,158 
2016,1,29,4,210 
2016,1,29,5,258 
2016,1,29,6,297 
2016,1,29,7,335 
2016,1,29,8,378 
2016,1,29,9,414 
2016,1,29,10,433 
2016,1,29,11,430 
2016,1,29,12,409 
2016,1,29,13,382 
2016,1,29,14,364 
2016,1,29,15,358 
2016,1,29,16,353 
2016,1,29,17,330 
2016,1,29,18,283 
2016,1,29,19,227 
2016,1,29,20,183 
2016,1,29,21,157 
2016,1,29,22,146 
2016,1,29,23,144 
2016,1,30,0,149 
2016,1,30,1,159 
2016,1,30,2,180 
2016,1,30,3,218 
2016,1,30,4,266 
2016,1,30,5,313 
2016,1,30,6,347 
2016,1,30,7,371 
2016,1,30,8,395 
2016,1,30,9,420 
2016,1,30,10,436 
2016,1,30,11,434 
2016,1,30,12,410 
2016,1,30,13,373 
2016,1,30,14,334 
2016,1,30,15,307 
2016,1,30,16,289 
2016,1,30,17,266 
2016,1,30,18,227 
2016,1,30,19,177 
2016,1,30,20,134 
2016,1,30,21,113 
2016,1,30,22,116 
2016,1,30,23,136 
2016,1,31,0,165 
2016,1,31,1,198 
2016,1,31,2,233 
2016,1,31,3,272 
2016,1,31,4,319 
2016,1,31,5,364 
2016,1,31,6,397 
2016,1,31,7,415 
2016,1,31,8,426 
2016,1,31,9,439 
2016,1,31,10,451 
2016,1,31,11,450 
2016,1,31,12,428 
2016,1,31,13,388 
2016,1,31,14,335 
2016,1,31,15,283 
2016,1,31,16,241 
2016,1,31,17,205 
2016,1,31,18,165 
2016,1,31,19,119 
2016,1,31,20,78 
2016,1,31,21,58 
2016,1,31,22,67 
2016,1,31,23,103 
2016,2,1,0,154 
2016,2,1,1,210 
2016,2,1,2,265 
2016,2,1,3,315 
2016,2,1,4,364 
2016,2,1,5,409 
2016,2,1,6,442 
2016,2,1,7,459 
2016,2,1,8,463 
2016,2,1,9,466 
2016,2,1,10,472 
2016,2,1,11,473 
2016,2,1,12,457 
2016,2,1,13,420 
2016,2,1,14,362 
2016,2,1,15,293 
2016,2,1,16,224 
2016,2,1,17,163 
2016,2,1,18,108 
2016,2,1,19,58 
2016,2,1,20,16 
2016,2,1,21,-5 
2016,2,1,22,5 
2016,2,1,23,49 
2016,2,2,0,117 
2016,2,2,1,196 
2016,2,2,2,274 
2016,2,2,3,343 
2016,2,2,4,401 
2016,2,2,5,449 
2016,2,2,6,484 
2016,2,2,7,502 
2016,2,2,8,505 
2016,2,2,9,501 
2016,2,2,10,499 
2016,2,2,11,498 
2016,2,2,12,489 
2016,2,2,13,460 
2016,2,2,14,406 
2016,2,2,15,329 
2016,2,2,16,239 
2016,2,2,17,149 
2016,2,2,18,69 
2016,2,2,19,2 
2016,2,2,20,-47 
2016,2,2,21,-72 
2016,2,2,22,-65 
2016,2,2,23,-20 
2016,2,3,0,58 
2016,2,3,1,155 
2016,2,3,2,256 
2016,2,3,3,347 
2016,2,3,4,422 
2016,2,3,5,478 
2016,2,3,6,517 
2016,2,3,7,538 
2016,2,3,8,544 
2016,2,3,9,539 
2016,2,3,10,531 
2016,2,3,11,526 
2016,2,3,12,521 
2016,2,3,13,502 
2016,2,3,14,459 
2016,2,3,15,386 
2016,2,3,16,286 
2016,2,3,17,170 
2016,2,3,18,58 
2016,2,3,19,-35 
2016,2,3,20,-102 
2016,2,3,21,-137 
2016,2,3,22,-137 
2016,2,3,23,-97 
2016,2,4,0,-18 
2016,2,4,1,90 
2016,2,4,2,211 
2016,2,4,3,326 
2016,2,4,4,423 
2016,2,4,5,493 
2016,2,4,6,539 
2016,2,4,7,564 
2016,2,4,8,574 
2016,2,4,9,572 
2016,2,4,10,565 
2016,2,4,11,557 
2016,2,4,12,551 
2016,2,4,13,540 
2016,2,4,14,512 
2016,2,4,15,454 
2016,2,4,16,358 
2016,2,4,17,229 
2016,2,4,18,88 
2016,2,4,19,-40 
2016,2,4,20,-136 
2016,2,4,21,-191 
2016,2,4,22,-203 
2016,2,4,23,-172 
2016,2,5,0,-101 
2016,2,5,1,7 
2016,2,5,2,140 
2016,2,5,3,278 
2016,2,5,4,400 
2016,2,5,5,490 
2016,2,5,6,546 
2016,2,5,7,576 
2016,2,5,8,589 
2016,2,5,9,593 
2016,2,5,10,590 
2016,2,5,11,584 
2016,2,5,12,578 
2016,2,5,13,570 
2016,2,5,14,555 
2016,2,5,15,519 
2016,2,5,16,442 
2016,2,5,17,319 
2016,2,5,18,161 
2016,2,5,19,1 
2016,2,5,20,-131 
2016,2,5,21,-218 
2016,2,5,22,-252 
2016,2,5,23,-237 
2016,2,6,0,-178 
2016,2,6,1,-80 
2016,2,6,2,51 
2016,2,6,3,202 
2016,2,6,4,349 
2016,2,6,5,465 
2016,2,6,6,538 
2016,2,6,7,574 
2016,2,6,8,589 
2016,2,6,9,594 
2016,2,6,10,596 
2016,2,6,11,595 
2016,2,6,12,593 
2016,2,6,13,588 
2016,2,6,14,580 
2016,2,6,15,563 
2016,2,6,16,517 
2016,2,6,17,420 
2016,2,6,18,270 
2016,2,6,19,91 
2016,2,6,20,-75 
2016,2,6,21,-199 
2016,2,6,22,-267 
2016,2,6,23,-277 
2016,2,7,0,-235 
2016,2,7,1,-154 
2016,2,7,2,-37 
2016,2,7,3,110 
2016,2,7,4,272 
2016,2,7,5,415 
2016,2,7,6,512 
2016,2,7,7,560 
2016,2,7,8,575 
2016,2,7,9,578 
2016,2,7,10,579 
2016,2,7,11,581 
2016,2,7,12,584 
2016,2,7,13,584 
2016,2,7,14,581 
2016,2,7,15,576 
2016,2,7,16,557 
2016,2,7,17,501 
2016,2,7,18,385 
2016,2,7,19,217 
2016,2,7,20,34 
2016,2,7,21,-123 
2016,2,7,22,-228 
2016,2,7,23,-271 
2016,2,8,0,-257 
2016,2,8,1,-197 
2016,2,8,2,-102 
2016,2,8,3,24 
2016,2,8,4,180 
2016,2,8,5,340 
2016,2,8,6,466 
2016,2,8,7,535 
2016,2,8,8,556 
2016,2,8,9,554 
2016,2,8,10,548 
2016,2,8,11,546 
2016,2,8,12,548 
2016,2,8,13,552 
2016,2,8,14,553 
2016,2,8,15,551 
2016,2,8,16,548 
2016,2,8,17,529 
2016,2,8,18,466 
2016,2,8,19,341 
2016,2,8,20,172 
2016,2,8,21,2 
2016,2,8,22,-131 
2016,2,8,23,-208 
2016,2,9,0,-226 
2016,2,9,1,-193 
2016,2,9,2,-123 
2016,2,9,3,-26 
2016,2,9,4,101 
2016,2,9,5,253 
2016,2,9,6,398 
2016,2,9,7,495 
2016,2,9,8,533 
